id,date,city,state,type,ideology,subideology,group,description,image
51200,7/26/2023,Duluth,MN,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""America is not for sale,"" ""For a new American nation state,"" ""Strong families make strong nations"" and ""No more foreign wars.""",
51248,7/26/2023,Carolina Beach,NC,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""For the nation, against the state,"" ""Not stolen, conquered"" and ""Reject poison.""",
51260,7/26/2023,Bismarck,ND,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""Better dead than red,"" ""For the nation, against the state"" and ""Forward for a new American nation state.""",
51274,7/26/2023,Del City,OK,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""Free occupied America,"" ""Reject poison,"" ""United we stand"" and ""For a new American nation state.""",
51317,7/26/2023,Hopkinton,RI,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""Not stolen, conquered"" and ""Reject poison.""",
51361,7/26/2023,Bryan,TX,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""Strong families, strong nations,"" ""Better dead than red"" and ""United we stand.""",
51404,7/26/2023,Burlington,VT,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""For a new American nation state,"" ""Strong families, strong nations"" and ""Forward for a new American nation state.""",
51442,7/26/2023,Cheney,WA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""Better dead than red,"" ""Not stolen, conquered,"" ""Reject poison"" and ""United we stand.""",
51463,7/26/2023,Cheyenne,WY,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front (PF),"Patriot Front, a white supremacist group, distributed propaganda that read: ""American by blood,"" ""For a new American nation state,"" “Forward for a new American nation state” and ""For the nation, against the state.""",
48071,7/25/2023,Asheville,NC,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""White Unity"" and promoted their organization. ",
48387,7/25/2023,Chicago,IL,Anti-LGBTQ+ Incident:Vandalism,,,,An individual stole a Pride flag and damaged the window casing of a local church.,
48415,7/25/2023,Cleveland,SC,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""The Way to Victory, White Solidarity.""",
48506,7/25/2023,Dallas,TX,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""Confronting the Anti-White System,"" ""White Unity"" and ""Texas NJP.""",
48734,7/25/2023,Glen Lyn,VA,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Indivduals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""The Way to Victory, White Solidarity"" and ""White Unity.""",
48809,7/25/2023,Henderson,NV,White Supremacist Propaganda,Right Wing (White Supremacist),,National Justice Party (NJP),"Individuals associated with the National Justice Party, a white supremacist group, posted stickers that read: ""Our nation our duty.""",
48862,7/25/2023,Huntington,WV,Anti-LGBTQ+ Incident:Harassment;Antisemitic Incident:Harassment;White Supremacist Propaganda,Right Wing (White Supremacist),,Goyim Defense League (GDL),"Individuals associated with the antisemitic Goyim Defense League distributed propaganda that read: ""Every single aspect of Disney child grooming is Jewish.""",
48917,7/25/2023,Johnson County,WY,White Supremacist Propaganda,Right Wing (White Supremacist),,Wyoming Active Club,"Individuals associated with Wyoming Active Club, a white supremacist group, distributed propaganda that read: ""Free Rundo,"" ""White Boys Trouble Makers Club"" and ""Nationalist Lifestyle.""",
